ward,year,category,cost
34,2022,Street Resurfacing,823190
35,2019,Misc. CDOT,5100
35,2019,Misc.,7280
35,2019,Ped. Infra.,15050
35,2019,Street Redesign,18800
35,2019,Police Cameras,74330
35,2019,Lighting,154400
35,2019,Street Resurfacing,215770
35,2019,Sidewalk Repair,217670
35,2019,Alleys,611600
35,2020,Ped. Infra.,6900
35,2020,Lighting,11700
35,2020,Police Cameras,17870
35,2020,Misc. CDOT,22370
35,2020,Street Redesign,28200
35,2020,Sidewalk Repair,63870
35,2020,Misc.,72560
35,2020,Parks,75000
35,2020,Street Resurfacing,413750
35,2020,Alleys,607770
35,2021,Misc. CDOT,1720
35,2021,Lighting,4350
35,2021,Street Redesign,21150
35,2021,Misc.,27410
35,2021,Ped. Infra.,33470
35,2021,Police Cameras,76130
35,2021,Sidewalk Repair,167620
35,2021,Parks,280000
35,2021,Street Resurfacing,368020
35,2021,Alleys,520130
35,2022,Misc. CDOT,1320
35,2022,Lighting,21800
35,2022,Ped. Infra.,22490
35,2022,Misc.,52820
35,2022,Beautification,60000
35,2022,Street Redesign,82450
35,2022,Sidewalk Repair,94480
35,2022,Bike Infra.,110000
35,2022,Parks,143500
35,2022,Viaducts,154350
35,2022,Alleys,337820
35,2022,Street Resurfacing,397010
36,2019,Alleys,14000
36,2019,Ped. Infra.,43510
36,2019,Misc.,130400
36,2019,Street Redesign,180810
36,2019,Sidewalk Repair,220530
36,2019,Street Resurfacing,730740
36,2020,Ped. Infra.,350
36,2020,Misc.,14670
36,2020,Misc. CDOT,22190
36,2020,Police Cameras,24780
36,2020,Alleys,64930
36,2020,Parks,110000
36,2020,Street Redesign,132600
36,2020,Sidewalk Repair,133530
36,2020,Street Resurfacing,816950
36,2021,Misc. CDOT,660
36,2021,Misc.,4540
36,2021,Street Redesign,18800
36,2021,Ped. Infra.,61330
36,2021,Sidewalk Repair,214810
36,2021,Alleys,592270
36,2021,Street Resurfacing,607590
36,2022,Misc. CDOT,660
36,2022,Ped. Infra.,9870
36,2022,Misc.,13360
36,2022,Street Redesign,34880
36,2022,Sidewalk Repair,321360
36,2022,Alleys,522410
36,2022,Street Resurfacing,597460
37,2019,Misc. CDOT,6000
37,2019,Street Redesign,63000
37,2019,Sidewalk Repair,211180
37,2019,Alleys,454700
37,2019,Street Resurfacing,585120
37,2020,Misc. CDOT,150
37,2020,Police Cameras,24780
37,2020,Street Redesign,32900
37,2020,Sidewalk Repair,53070
37,2020,Alleys,94570
37,2020,Lighting,532950
37,2020,Street Resurfacing,581590
37,2021,Street Redesign,5830
37,2021,Police Cameras,24780
37,2021,Ped. Infra.,29260
37,2021,Sidewalk Repair,39040
37,2021,Alleys,122420
37,2021,Lighting,220500
37,2021,Street Resurfacing,1058180
37,2022,Misc.,1840
37,2022,Viaducts,14360
37,2022,Beautification,15000
37,2022,Street Redesign,20070
37,2022,Ped. Infra.,29970
37,2022,Sidewalk Repair,35900
37,2022,Lighting,137500
37,2022,Alleys,559040
37,2022,Street Resurfacing,622700
38,2019,Alleys,17700
38,2019,Sidewalk Repair,51340
38,2019,Street Resurfacing,1250960
38,2020,Lighting,1000
38,2020,Misc. CDOT,1320
38,2020,Police Cameras,24780
38,2020,Street Redesign,35250
38,2020,Sidewalk Repair,66710
38,2020,Alleys,190720
38,2020,Street Resurfacing,1000220
38,2021,Misc. CDOT,1320
38,2021,Lighting,2000
38,2021,Street Redesign,9400
38,2021,Parks,10000
38,2021,Alleys,27430
38,2021,Street Resurfacing,1449850
38,2022,Misc.,28000
38,2022,Street Redesign,28200
38,2022,Sidewalk Repair,58010
38,2022,Alleys,402910
38,2022,Lighting,420500
38,2022,Street Resurfacing,522300
39,2019,Sidewalk Repair,2700
39,2019,Viaducts,5000
39,2019,Ped. Infra.,5810
39,2019,Misc. CDOT,8820
39,2019,Alleys,14090
39,2019,Street Redesign,38980
39,2019,Misc.,65500
39,2019,Street Resurfacing,1179100
39,2020,Misc. CDOT,3490
39,2020,Lighting,3500
39,2020,Alleys,4900
39,2020,Street Redesign,9400
39,2020,Parks,16850
39,2020,Police Cameras,49550
39,2020,Sidewalk Repair,94370
39,2020,Misc.,400000
39,2020,Street Resurfacing,737940
39,2021,Lighting,11200
39,2021,Sidewalk Repair,21050
39,2021,Police Cameras,35750
39,2021,Street Redesign,37830
39,2021,Alleys,51170
39,2021,Misc. CDOT,66470
39,2021,Misc.,85130
39,2021,Parks,170000
39,2021,Beautification,173900
39,2021,Street Resurfacing,847500
39,2022,Lighting,1250
39,2022,Street Redesign,14250
39,2022,Sidewalk Repair,26960
39,2022,Misc. CDOT,50000
39,2022,Parks,255000
39,2022,Street Resurfacing,1152540
40,2019,Street Redesign,5950
40,2019,Sidewalk Repair,7810
40,2019,Bike Infra.,23000
40,2019,Police Cameras,49550
40,2019,Misc.,71500
40,2019,Street Resurfacing,499250
40,2019,Alleys,662940
40,2020,Lighting,340
40,2020,Ped. Infra.,5660
40,2020,Street Redesign,14100
40,2020,Sidewalk Repair,45050
40,2020,Beautification,55000
40,2020,Misc. CDOT,97840
40,2020,Police Cameras,99100
40,2020,Parks,120000
40,2020,Alleys,191030
40,2020,Street Resurfacing,684000
40,2021,Lighting,1660
40,2021,Misc. CDOT,15790
40,2021,Street Redesign,49350
40,2021,Beautification,50000
40,2021,Ped. Infra.,76930
40,2021,Parks,110000
40,2021,Sidewalk Repair,234810
40,2021,Street Resurfacing,303110
40,2021,Alleys,658340
40,2022,Viaducts,36140
40,2022,Misc. CDOT,70220
40,2022,Misc.,87730
40,2022,Ped. Infra.,101600
40,2022,Sidewalk Repair,251970
40,2022,Parks,270000
40,2022,Street Resurfacing,334820
40,2022,Alleys,347520
41,2019,Ped. Infra.,950
41,2019,Alleys,5550
41,2019,Sidewalk Repair,14570
41,2019,Misc.,43500
41,2019,Street Resurfacing,1255430
41,2020,Alleys,1390
41,2020,Street Redesign,18150
41,2020,Misc. CDOT,20000
41,2020,Sidewalk Repair,106060
41,2020,Street Resurfacing,1174400
41,2021,Misc.,1470
41,2021,Alleys,2100
41,2021,Street Redesign,9400
41,2021,Ped. Infra.,19660
41,2021,Misc. CDOT,59700
41,2021,Street Resurfacing,1407660
41,2022,Ped. Infra.,350
41,2022,Misc. CDOT,660
41,2022,Street Redesign,14100
41,2022,Misc.,60520
41,2022,Street Resurfacing,1421050
42,2019,Street Redesign,37860
42,2019,Alleys,62520
42,2019,Police Cameras,74330
42,2019,Sidewalk Repair,98080
42,2019,Ped. Infra.,136930
42,2019,Misc.,200050
42,2019,Misc. CDOT,200660
42,2019,Lighting,240830
42,2019,Street Resurfacing,268740
42,2020,Ped. Infra.,350
42,2020,Misc. CDOT,10540
42,2020,Police Cameras,24780
42,2020,Alleys,51400
42,2020,Viaducts,60000
42,2020,Street Resurfacing,60420
42,2020,Misc.,65790
42,2020,Sidewalk Repair,68620
42,2020,Street Redesign,159890
42,2020,Lighting,818220
42,2021,Misc. CDOT,660
42,2021,Ped. Infra.,27560
42,2021,Parks,45000
42,2021,Police Cameras,99100
42,2021,Street Resurfacing,282880
42,2021,Lighting,492920
42,2021,Misc.,551880
42,2022,Street Redesign,4700
42,2022,Parks,16280
42,2022,Ped. Infra.,16600
42,2022,Sidewalk Repair,55860
42,2022,Viaducts,100000
42,2022,Misc. CDOT,100660
42,2022,Lighting,200000
42,2022,Street Resurfacing,446340
42,2022,Misc.,447950
43,2019,Lighting,1500
43,2019,Parks,35620
43,2019,Sidewalk Repair,47950
43,2019,Ped. Infra.,65240
43,2019,Street Resurfacing,217230
43,2019,Misc.,276500
43,2019,Alleys,675960
43,2020,Lighting,500
43,2020,Ped. Infra.,2350
43,2020,Misc.,25000
43,2020,Sidewalk Repair,81150
43,2020,Police Cameras,99100
43,2020,Alleys,180150
43,2020,Street Resurfacing,899830
43,2021,Ped. Infra.,1050
43,2021,Misc. CDOT,1320
43,2021,Alleys,14390
43,2021,Viaducts,40580
43,2021,Police Cameras,99100
43,2021,Lighting,125000
43,2021,Misc.,269280
43,2021,Sidewalk Repair,314340
43,2021,Street Resurfacing,634940
43,2022,Lighting,4200
43,2022,Misc. CDOT,15070
43,2022,Parks,50000
43,2022,Ped. Infra.,65520
43,2022,Sidewalk Repair,101160
43,2022,Misc.,259960
43,2022,Street Resurfacing,484930
43,2022,Alleys,519150
44,2019,Lighting,5500
44,2019,Misc. CDOT,10990
44,2019,Ped. Infra.,60000
44,2019,Sidewalk Repair,83790
44,2019,Misc.,134980
44,2019,Alleys,439060
44,2019,Street Resurfacing,585680
44,2020,Ped. Infra.,2460
44,2020,Misc. CDOT,4500
44,2020,Sidewalk Repair,7190
44,2020,Street Redesign,99120
44,2020,Lighting,120000
44,2020,Alleys,207960
44,2020,Street Resurfacing,878770
44,2021,Misc. CDOT,4420
44,2021,Street Redesign,9400
44,2021,Lighting,14490
44,2021,Misc.,136310
44,2021,Sidewalk Repair,222660
44,2021,Alleys,482720
44,2021,Street Resurfacing,629990
44,2022,Misc. CDOT,3800
44,2022,Parks,60000
44,2022,Sidewalk Repair,166700
44,2022,Lighting,330510
44,2022,Street Resurfacing,461200
44,2022,Alleys,477800
45,2019,Parks,48690
45,2019,Alleys,260340
45,2019,Street Resurfacing,1010970
45,2020,Sidewalk Repair,10680
45,2020,Street Redesign,35250
45,2020,Alleys,164390
45,2020,Street Resurfacing,1109680
45,2021,Ped. Infra.,2000
45,2021,Misc. CDOT,2500
45,2021,Street Redesign,4700
45,2021,Alleys,36790
45,2021,Misc.,127970
45,2021,Street Resurfacing,1326050
45,2022,Misc. CDOT,660
45,2022,Street Redesign,2350
45,2022,Lighting,2500
45,2022,Ped. Infra.,11560
45,2022,Misc.,41410
45,2022,Alleys,107320
45,2022,Street Resurfacing,1328250
46,2019,Beautification,40000
46,2019,Sidewalk Repair,42280
46,2019,Parks,50000
46,2019,Ped. Infra.,72080
46,2019,Misc. CDOT,72810
46,2019,Misc.,140000
46,2019,Alleys,284170
46,2019,Street Resurfacing,618650
46,2020,Misc.,1000
46,2020,Ped. Infra.,1070
46,2020,Sidewalk Repair,22960
46,2020,Police Cameras,49550
46,2020,Alleys,81470
46,2020,Street Resurfacing,368950
46,2020,Lighting,795000
46,2021,Misc. CDOT,41100
46,2021,Viaducts,70920
46,2021,Police Cameras,74330
46,2021,Beautification,75000
46,2021,Ped. Infra.,128060
46,2021,Sidewalk Repair,135400
46,2021,Parks,153540
46,2021,Lighting,223460
46,2021,Street Resurfacing,225310
46,2021,Alleys,372880
46,2022,Street Redesign,2350
46,2022,Lighting,6840
46,2022,Bike Infra.,17500
46,2022,Misc. CDOT,20000
46,2022,Misc.,53000
46,2022,Sidewalk Repair,56160
46,2022,Police Cameras,123880
46,2022,Alleys,141110
46,2022,Ped. Infra.,495220
46,2022,Street Resurfacing,583950
47,2019,Bike Infra.,29000
47,2019,Sidewalk Repair,30880
47,2019,Street Redesign,54950
47,2019,Beautification,60000
47,2019,Ped. Infra.,70040
47,2019,Parks,130000
47,2019,Lighting,244000
47,2019,Street Resurfacing,335590
47,2019,Alleys,365550
47,2020,Misc.,28000
47,2020,Street Redesign,29370
47,2020,Bike Infra.,71000
47,2020,Misc. CDOT,82280
47,2020,Ped. Infra.,103510
47,2020,Alleys,156810
47,2020,Sidewalk Repair,226810
47,2020,Street Resurfacing,622220
47,2021,Lighting,3300
47,2021,Street Redesign,16670
47,2021,Beautification,40000
47,2021,Misc. CDOT,49690
47,2021,Sidewalk Repair,111520
47,2021,Misc.,156300
47,2021,Bike Infra.,186500
47,2021,Alleys,192620
47,2021,Ped. Infra.,221870
47,2021,Street Resurfacing,521530
47,2022,Lighting,5430
47,2022,Misc. CDOT,11350
47,2022,Street Redesign,46580
47,2022,Parks,54000
47,2022,Misc.,122910
47,2022,Sidewalk Repair,162490
47,2022,Alleys,200850
47,2022,Ped. Infra.,203200
47,2022,Street Resurfacing,662960
48,2019,Lighting,10200
48,2019,Street Redesign,12050
48,2019,Bike Infra.,17000
48,2019,Misc.,34070
48,2019,Sidewalk Repair,40390
48,2019,Police Cameras,49550
48,2019,Ped. Infra.,115760
48,2019,Alleys,193860
48,2019,Street Resurfacing,847120
48,2020,Street Redesign,4700
48,2020,Misc.,11000
48,2020,Lighting,24600
48,2020,Police Cameras,24780
48,2020,Beautification,70410
48,2020,Sidewalk Repair,78140
48,2020,Parks,80000
48,2020,Ped. Infra.,142460
48,2020,Alleys,219600
48,2020,Street Resurfacing,664310
48,2021,Ped. Infra.,5890
48,2021,Street Redesign,16850
48,2021,Beautification,50000
48,2021,Alleys,130860
48,2021,Police Cameras,164700
48,2021,Misc.,176150
48,2021,Sidewalk Repair,185510
48,2021,Lighting,374900
48,2021,Street Resurfacing,395150
48,2022,Ped. Infra.,1800
48,2022,Street Redesign,2350
48,2022,Misc.,15900
48,2022,Beautification,50000
48,2022,Alleys,224720
48,2022,Sidewalk Repair,251080
48,2022,Street Resurfacing,454140
48,2022,Misc. CDOT,500000
49,2019,Ped. Infra.,5120
49,2019,Misc. CDOT,39920
49,2019,Parks,60000
49,2019,Street Resurfacing,113830
49,2019,Sidewalk Repair,139160
49,2019,Beautification,168000
49,2019,Misc.,335000
49,2019,Alleys,458970
49,2020,Street Redesign,2350
49,2020,Misc. CDOT,20660
49,2020,Parks,115000
49,2020,Sidewalk Repair,126910
49,2020,Misc.,136000
49,2020,Street Resurfacing,143620
49,2020,Alleys,775460
49,2021,Street Redesign,2350
49,2021,Beautification,24000
49,2021,Misc.,35000
49,2021,Misc. CDOT,47290
49,2021,Sidewalk Repair,178380
49,2021,Street Resurfacing,227890
49,2021,Parks,267830
49,2021,Lighting,300000
49,2021,Alleys,417260
49,2022,Misc. CDOT,4560
49,2022,Street Redesign,4700
49,2022,Ped. Infra.,40460
49,2022,Misc.,58090
49,2022,Sidewalk Repair,84410
49,2022,Parks,105730
49,2022,Street Resurfacing,326440
49,2022,Lighting,333000
49,2022,Alleys,542610
50,2019,Ped. Infra.,65950
50,2019,Alleys,111460
50,2019,Lighting,350000
50,2019,Street Resurfacing,792590
50,2020,Lighting,2500
50,2020,Sidewalk Repair,24890
50,2020,Street Redesign,74650
50,2020,Ped. Infra.,80000
50,2020,Alleys,97040
50,2020,Street Resurfacing,1040920
50,2021,Ped. Infra.,7500
50,2021,Sidewalk Repair,12660
50,2021,Street Redesign,24280
50,2021,Alleys,98550
50,2021,Lighting,629700
50,2021,Street Resurfacing,727310
50,2022,Misc.,3770
50,2022,Street Redesign,25430
50,2022,Ped. Infra.,42920
50,2022,Alleys,51360
50,2022,Lighting,233440
50,2022,Street Resurfacing,1143080
1,2012,Alleys,9154
1,2012,Lighting,147950
1,2012,Misc.,103305
1,2012,Parks,605000
1,2012,Pedestrian Infrastructure,15011
1,2012,Sidewalk Repair,23613
1,2012,Street Redesign,16800
1,2012,Street Resurfacing,399166
1,2013,Alleys,438774
1,2013,Bicycle Infrastructure,50000
1,2013,Lighting,1550
1,2013,Misc.,148808
1,2013,Parks,450000
1,2013,Pedestrian Infrastructure,6933
1,2013,Sidewalk Repair,40743
1,2013,Street Redesign,29600
1,2013,Street Resurfacing,153592
1,2014,Alleys,1701
1,2014,Lighting,500
1,2014,Misc.,41860
1,2014,Parks,372247
1,2014,Pedestrian Infrastructure,67429
1,2014,Sidewalk Repair,54123
1,2014,Street Redesign,9250
1,2014,Street Resurfacing,772889
1,2015,Alleys,89661
1,2015,Misc.,194240
1,2015,Misc. CDOT,65059
1,2015,Parks,535000
1,2015,Pedestrian Infrastructure,600
1,2015,Sidewalk Repair,101467
1,2015,Street Redesign,7400
1,2015,Street Resurfacing,350577
1,2016,Alleys,396117
1,2016,Lighting,8500
1,2016,Misc.,115687
1,2016,Pedestrian Infrastructure,13300
1,2016,Sidewalk Repair,87850
1,2016,Street Redesign,3850
1,2016,Street Resurfacing,612199
1,2016,Viaducts,16000
1,2017,Alleys,399638
1,2017,Beautification,50000
1,2017,Misc.,79111
1,2017,Misc. CDOT,634
1,2017,Parks,9300
1,2017,Pedestrian Infrastructure,179338
1,2017,Street Resurfacing,601979
1,2018,Alleys,219138
1,2018,Misc.,71900
1,2018,Parks,550000
1,2018,Pedestrian Infrastructure,80322
1,2018,Sidewalk Repair,31299
1,2018,Street Redesign,7400
1,2018,Street Resurfacing,359939
1,2023,Alleys,82158
1,2023,Bicycle Infrastructure,475000
1,2023,Misc.,61000
1,2023,Misc. CDOT,2081
1,2023,Parks,100000
1,2023,Pedestrian Infrastructure,405973
1,2023,Sidewalk Repair,20262
1,2023,Street Redesign,68000
1,2023,Street Resurfacing,285526
2,2012,Alleys,102940
2,2012,Lighting,352600
2,2012,Misc.,245250
2,2012,Sidewalk Repair,77413
2,2012,Street Redesign,11500
2,2012,Street Resurfacing,529693
2,2013,Alleys,34614
2,2013,Lighting,290950
2,2013,Misc.,210760
2,2013,Pedestrian Infrastructure,35377
2,2013,Sidewalk Repair,155400
2,2013,Street Redesign,3700
2,2013,Street Resurfacing,589199
2,2014,Alleys,4147
2,2014,Lighting,37400
2,2014,Misc.,183272
2,2014,Pedestrian Infrastructure,700
2,2014,Sidewalk Repair,343523
2,2014,Street Resurfacing,743462
2,2015,Misc.,175000
2,2015,Pedestrian Infrastructure,1550
2,2015,Sidewalk Repair,8985
2,2015,Street Resurfacing,1110461
2,2016,Alleys,493532
2,2016,Lighting,1650
2,2016,Misc.,86933
2,2016,Pedestrian Infrastructure,6900
2,2016,Sidewalk Repair,23669
2,2016,Street Redesign,759
2,2016,Street Resurfacing,706557
2,2017,Alleys,94291
2,2017,Lighting,205000
2,2017,Misc.,138375
2,2017,Misc. CDOT,19702
2,2017,Pedestrian Infrastructure,153738
2,2017,Police Cameras,27011
2,2017,Sidewalk Repair,41225
2,2017,Street Redesign,19890
2,2017,Street Resurfacing,584858
2,2017,Viaducts,35911
2,2018,Lighting,2700
2,2018,Misc.,700
2,2018,Misc. CDOT,15765
2,2018,Pedestrian Infrastructure,12784
2,2018,Police Cameras,81033
2,2018,Sidewalk Repair,97105
2,2018,Street Redesign,31872
2,2018,Street Resurfacing,1078040
2,2023,Alleys,318000
2,2023,Misc.,7320
2,2023,Pedestrian Infrastructure,64000
2,2023,Sidewalk Repair,111299
2,2023,Street Resurfacing,802549
3,2012,Alleys,224815
3,2012,Lighting,189327
3,2012,Misc.,30079
3,2012,Pedestrian Infrastructure,550
3,2012,Sidewalk Repair,73955
3,2012,Street Redesign,13250
3,2012,Street Resurfacing,784483
3,2013,Alleys,478382
3,2013,Lighting,240600
3,2013,Misc.,67021
3,2013,Parks,34000
3,2013,Sidewalk Repair,53026
3,2013,Street Redesign,75154
3,2013,Street Resurfacing,371816
3,2014,Lighting,551650
3,2014,Misc.,10000
3,2014,Sidewalk Repair,87907
3,2014,Street Redesign,3700
3,2014,Street Resurfacing,666231
3,2015,Alleys,241445
3,2015,Lighting,414600
3,2015,Misc.,12597
3,2015,Sidewalk Repair,47367
3,2015,Street Redesign,70000
3,2015,Street Resurfacing,533990
3,2016,Alleys,521425
3,2016,Lighting,42950
3,2016,Misc.,149470
3,2016,Sidewalk Repair,106239
3,2016,Street Redesign,17450
3,2016,Street Resurfacing,472409
3,2017,Alleys,127950
3,2017,Lighting,320000
3,2017,Misc.,10000
3,2017,Misc. CDOT,87215
3,2017,Pedestrian Infrastructure,38178
3,2017,Police Cameras,81033
3,2017,Sidewalk Repair,149369
3,2017,Street Redesign,33700
3,2017,Street Resurfacing,406555
3,2017,Viaducts,66000
3,2018,Alleys,189696
3,2018,Lighting,900
3,2018,Misc.,43700
3,2018,Misc. CDOT,28526
3,2018,Pedestrian Infrastructure,68432
3,2018,Police Cameras,27011
3,2018,Sidewalk Repair,381182
3,2018,Street Redesign,113653
3,2018,Street Resurfacing,466900
3,2023,Alleys,471317
3,2023,Lighting,63912
3,2023,Misc.,22440
3,2023,Misc. CDOT,34356
3,2023,Sidewalk Repair,207006
3,2023,Street Resurfacing,595535
4,2012,Alleys,24195
4,2012,Lighting,9350
4,2012,Misc.,219903
4,2012,Parks,150000
4,2012,Sidewalk Repair,198226
4,2012,Street Resurfacing,718179
4,2013,Alleys,174358
4,2013,Lighting,224400
4,2013,Pedestrian Infrastructure,550
4,2013,Sidewalk Repair,537111
4,2013,Street Resurfacing,381747
4,2014,Alleys,88529
4,2014,Lighting,109600
4,2014,Misc.,58850
4,2014,Pedestrian Infrastructure,29170
4,2014,Sidewalk Repair,554821
4,2014,Street Redesign,7400
4,2014,Street Resurfacing,466364
4,2015,Alleys,295545
4,2015,Lighting,4400
4,2015,Pedestrian Infrastructure,21828
4,2015,Sidewalk Repair,124125
4,2015,Street Redesign,140000
4,2015,Street Resurfacing,734103
4,2016,Alleys,78770
4,2016,Lighting,2100
4,2016,Misc.,1501
4,2016,Pedestrian Infrastructure,14782
4,2016,Sidewalk Repair,115300
4,2016,Street Redesign,181855
4,2016,Street Resurfacing,860670
4,2017,Alleys,119225
4,2017,Lighting,28055
4,2017,Misc.,23945
4,2017,Misc. CDOT,4200
4,2017,Parks,27011
4,2017,Pedestrian Infrastructure,64411
4,2017,Police Cameras,27011
4,2017,Sidewalk Repair,220067
4,2017,Street Redesign,71300
4,2017,Street Resurfacing,734776
4,2018,Misc.,49575
4,2018,Misc. CDOT,300
4,2018,Pedestrian Infrastructure,1300
4,2018,Police Cameras,135055
4,2018,Sidewalk Repair,106221
4,2018,Street Redesign,6644
4,2018,Street Resurfacing,997837
4,2018,Viaducts,23070
4,2023,Alleys,179566
4,2023,Lighting,500
4,2023,Misc.,308290
4,2023,Misc. CDOT,29520
4,2023,Parks,150000
4,2023,Pedestrian Infrastructure,3052
4,2023,Sidewalk Repair,258037
4,2023,Street Redesign,31964
4,2023,Street Resurfacing,539074
5,2012,Lighting,828000
5,2012,Misc.,491999
5,2013,Alleys,28526
5,2013,Lighting,442000
5,2013,Misc.,415002
5,2013,Pedestrian Infrastructure,7400
5,2013,Sidewalk Repair,56674
5,2013,Street Resurfacing,306060
5,2014,Alleys,105107
5,2014,Lighting,156800
5,2014,Misc.,360973
5,2014,Pedestrian Infrastructure,8200
5,2014,Sidewalk Repair,62510
5,2014,Street Redesign,3700
5,2014,Street Resurfacing,622601
5,2015,Alleys,134973
5,2015,Lighting,158100
5,2015,Misc.,2300
5,2015,Pedestrian Infrastructure,3200
5,2015,Sidewalk Repair,205048
5,2015,Street Redesign,5550
5,2015,Street Resurfacing,647579
5,2016,Alleys,19079
5,2016,Lighting,171600
5,2016,Misc.,101033
5,2016,Pedestrian Infrastructure,6450
5,2016,Sidewalk Repair,42397
5,2016,Street Resurfacing,540785
5,2016,Viaducts,75679
5,2017,Alleys,76525
5,2017,Misc.,5000
5,2017,Sidewalk Repair,81159
5,2017,Street Redesign,81264
5,2017,Street Resurfacing,1076051
5,2018,Alleys,271978
5,2018,Lighting,166500
5,2018,Misc.,16880
5,2018,Sidewalk Repair,22153
5,2018,Street Resurfacing,842487
5,2023,Lighting,553913
5,2023,Misc.,4880
5,2023,Street Resurfacing,941206
6,2012,Lighting,1280000
6,2012,Misc.,1166
6,2012,Street Resurfacing,38833
6,2013,Lighting,575999
6,2013,Street Redesign,7866
6,2013,Street Resurfacing,736134
6,2014,Misc.,46980
6,2014,Pedestrian Infrastructure,4650
6,2014,Sidewalk Repair,86280
6,2014,Street Resurfacing,1175973
6,2015,Alleys,27230
6,2015,Sidewalk Repair,95014
6,2015,Street Resurfacing,1179863
6,2016,Alleys,93781
6,2016,Misc.,200000
6,2016,Parks,49470
6,2016,Sidewalk Repair,75933
6,2016,Street Redesign,3700
6,2016,Street Resurfacing,887766
6,2017,Alleys,88412
6,2017,Lighting,20750
6,2017,Misc.,10619
6,2017,Parks,55177
6,2017,Pedestrian Infrastructure,68200
6,2017,Sidewalk Repair,109129
6,2017,Street Resurfacing,967714
6,2018,Alleys,20859
6,2018,Lighting,200000
6,2018,Misc.,481
6,2018,Parks,47323
6,2018,Pedestrian Infrastructure,20734
6,2018,Police Cameras,54022
6,2018,Sidewalk Repair,44544
6,2018,Street Resurfacing,932037
6,2023,Alleys,21262
6,2023,Lighting,489500
6,2023,Misc.,14640
6,2023,Misc. CDOT,2224
6,2023,Parks,125000
6,2023,Pedestrian Infrastructure,224000
6,2023,Sidewalk Repair,65351
6,2023,Street Resurfacing,557596
7,2012,Sidewalk Repair,72616
7,2012,Street Redesign,33300
7,2012,Street Resurfacing,1214016
7,2013,Lighting,328000
7,2013,Pedestrian Infrastructure,1100
7,2013,Sidewalk Repair,70953
7,2013,Street Redesign,3700
7,2013,Street Resurfacing,915744
7,2014,Alleys,8924
7,2014,Lighting,180000
7,2014,Misc.,77217
7,2014,Sidewalk Repair,101610
7,2014,Street Resurfacing,950562
7,2015,Alleys,9092
7,2015,Lighting,522978
7,2015,Sidewalk Repair,16826
7,2015,Street Redesign,3700
7,2015,Street Resurfacing,767405
7,2016,Lighting,287422
7,2016,Misc.,255
7,2016,Sidewalk Repair,38627
7,2016,Street Resurfacing,712628
7,2017,Alleys,10554
7,2017,Lighting,83000
7,2017,Misc.,4625
7,2017,Pedestrian Infrastructure,38999
7,2017,Street Redesign,3700
7,2017,Street Resurfacing,1179119
7,2018,Alleys,2100
7,2018,Misc.,11200
7,2018,Street Redesign,13200
7,2018,Street Resurfacing,1293500
7,2023,Alleys,185839
7,2023,Lighting,500
7,2023,Misc.,29280
7,2023,Misc. CDOT,660
7,2023,Pedestrian Infrastructure,10500
7,2023,Sidewalk Repair,55419
7,2023,Street Redesign,8000
7,2023,Street Resurfacing,925995
8,2012,Alleys,3257
8,2012,Lighting,775811
8,2012,Misc.,2520
8,2012,Pedestrian Infrastructure,15188
8,2012,Sidewalk Repair,330691
8,2012,Street Redesign,7400
8,2012,Street Resurfacing,185133
8,2013,Alleys,32911
8,2013,Lighting,687150
8,2013,Misc.,0
8,2013,Sidewalk Repair,149653
8,2013,Street Redesign,7400
8,2013,Street Resurfacing,442886
8,2014,Alleys,30037
8,2014,Lighting,532550
8,2014,Misc.,770
8,2014,Pedestrian Infrastructure,950
8,2014,Sidewalk Repair,146185
8,2014,Street Redesign,11100
8,2014,Street Resurfacing,598109
8,2015,Lighting,589850
8,2015,Pedestrian Infrastructure,600
8,2015,Sidewalk Repair,58454
8,2015,Street Resurfacing,666353
8,2016,Lighting,432500
8,2016,Sidewalk Repair,195701
8,2016,Street Redesign,3700
8,2016,Street Resurfacing,674869
8,2017,Lighting,704200
8,2017,Misc.,16475
8,2017,Sidewalk Repair,55417
8,2017,Street Resurfacing,543909
8,2018,Lighting,639500
8,2018,Sidewalk Repair,202342
8,2018,Street Resurfacing,478157
8,2023,Lighting,274300
8,2023,Misc.,45470
8,2023,Misc. CDOT,8110
8,2023,Pedestrian Infrastructure,18308
8,2023,Sidewalk Repair,159275
8,2023,Street Resurfacing,985437
9,2012,Alleys,700
9,2012,Lighting,3500
9,2012,Misc.,11405
9,2012,Sidewalk Repair,284185
9,2012,Street Resurfacing,1020208
9,2013,Misc.,65941
9,2013,Sidewalk Repair,53085
9,2013,Street Resurfacing,1200974
9,2014,Alleys,3500
9,2014,Lighting,15000
9,2014,Misc.,3008
9,2014,Sidewalk Repair,54491
9,2014,Street Resurfacing,1243956
9,2015,Lighting,10300
9,2015,Misc.,1260
9,2015,Sidewalk Repair,394095
9,2015,Street Redesign,700
9,2015,Street Resurfacing,897967
9,2016,Misc.,550
9,2016,Sidewalk Repair,38438
9,2016,Street Resurfacing,1280851
9,2017,Alleys,22108
9,2017,Lighting,812
9,2017,Misc.,80517
9,2017,Sidewalk Repair,133648
9,2017,Street Resurfacing,1082913
9,2018,Alleys,2100
9,2018,Misc.,2503
9,2018,Sidewalk Repair,131571
9,2018,Street Resurfacing,1183826
9,2023,Alleys,177977
9,2023,Misc.,5345
9,2023,Misc. CDOT,300
