ward,year,item,category,location,cost
43,2020,Oscar Mayer Elementary Community Chicken Coop,Misc.,2250 N CLIFTON AVE,25000
43,2020,1 POD Camera: 1200 N. State St,Police Cameras,1200 N STATE PKWY,24780
43,2020,1 POD Camera: 1601 N Sedgwick Ave,Police Cameras,1802 N SEDGWICK ST,24780
43,2020,"1 POD Camera: Lincoln Ave, Webster Ave, Larrabe Rd",Police Cameras,N LINCOLN AVE & W WEBSTER AVE,24780
43,2020,1 Pod Camera: Hasted & Armitage,Police Cameras,N HALSTED ST & W ARMITAGE AVE,24780
43,2020,Alley Resurfacing Menu,Alleys,2515 N SEMINARY AVE; W ALTGELD ST & N SHEFFIELD AVE&N SEMINARY AVE & W LILL AVE,23010
43,2020,Sidewalk Menu,Sidewalk Repair,1839 N LINCOLN PARK W,22110
43,2020,Curb & Gutter Menu,Street Resurfacing,734-740 W BELDEN AVE,18500
43,2020,Alley Resurfacing Menu,Alleys,447 W EUGENIE ST; N HUDSON AVE & W NORTH AVE&W EUGENIE ST & N CLEVELAND AVE,17460
43,2020,Street Resurfacing Menu,Street Resurfacing,ON E SCOTT ST FROM N STATE PKWY TO N ASTOR ST ; 10 E SCOTT ST,15410
43,2020,Alley Apron Menu,Alleys,2658 N DAYTON ST,13040
43,2020,Alley Apron Menu,Alleys,2501 N SHEFFIELD AVE,11050
43,2020,Alley Apron Menu,Alleys,514 W WEBSTER AVE,10830
43,2020,Sidewalk Menu,Sidewalk Repair,19 E SCOTT ST,8720
43,2020,Alley Resurfacing Menu,Alleys,932 W WILLOW ST,8290
43,2020,Curb & Gutter Menu,Street Resurfacing,2703 N HALSTED ST,6980
43,2020,Alley Resurfacing Menu,Alleys,W WILLOW ST & N FREMONT ST&N BISSELL ST & W WISCONSIN ST; 900 W WILLOW ST,5640
43,2020,Sidewalk Menu,Sidewalk Repair,831 W WRIGHTWOOD AVE,3190
43,2020,Alley Speed Hump Menu,Alleys,2015 N FREMONT ST; N FREMONT ST & W DICKENS AVE&W ARMITAGE AVE & N DAYTON ST,1400
43,2020,Sidewalk Menu,Sidewalk Repair,1117 W DICKENS AVE,1260
43,2020,Alley Speed Hump Menu,Alleys,N ORCHARD ST & W ARMITAGE AVE&N HOWE ST & W WILLOW ST,700
43,2020,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",Ped. Infra.,W FULLERTON AVE & N SURREY CT,700
43,2020,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",Ped. Infra.,N CLYBOURN AVE & N KENMORE AVE,600
43,2020,Street Light Upgrade Menu,Lighting,2345 N CLARK ST,500
43,2020,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",Ped. Infra.,N RACINE AVE & W LILL AVE,350
43,2020,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",Ped. Infra.,W FULLERTON AVE & N SEMINARY AVE,350
43,2020,"In-Road ""State Law Stop For Pedestrians"" Signs Menu",Ped. Infra.,W MONTANA ST & N SHEFFIELD AVE,350
43,2021,Street Resurfacing Menu,Street Resurfacing,ON N ORCHARD ST FROM W WILLOW ST TO W ARMITAGE AVE,148950
43,2021,Sidewalk Menu,Sidewalk Repair,ON N CLIFTON AVE FROM W WEBSTER AVE TO W BELDEN AVE,117460
43,2021,4 LPR w/o Existing Camera: Lake Shore Drive & Fullerton,Misc.,W FULLERTON PKWY & N LSD FULLERTON AV ER; W FULLERTON PKWY & N LSD FULLERTON AV XR,109640
